,Game,Week,Road Closing Spread,Home Closing Spread
2293,NYJ 6 @ CIN 22,13,-2.5,2.5
2294,OAK 9 @ KC 40,13,11.5,-11.5
2295,PHI 31 @ MIA 37,13,-10.5,10.5
2296,SF 17 @ BAL 20,13,5.5,-5.5
2297,TB 28 @ JAC 11,13,-3,3
2298,TEN 31 @ IND 17,13,-1,1
2299,WAS 29 @ CAR 21,13,10.5,-10.5
2300,LAR 34 @ ARI 7,13,-2.5,2.5
2301,CLE 13 @ PIT 20,13,-1,1
2302,LAC 20 @ DEN 23,13,-4.5,4.5
2303,NE 22 @ HOU 28,13,-3.5,3.5
2304,MIN 30 @ SEA 34,13,2.5,-2.5
2305,NO 10 @ DAL 13,13,-7,7
2306,DEN 24 @ CIN 10,13,-3.5,3.5
2307,ARI 20 @ GB 17,13,14.5,-14.5
2308,BAL 26 @ ATL 16,13,2.5,-2.5
2309,BUF 17 @ MIA 21,13,3.5,-3.5
2310,CAR 17 @ TB 24,13,-3.5,3.5
2311,CHI 27 @ NYG 30,13,-3.5,3.5
2312,CLE 13 @ HOU 29,13,5,-5
2313,IND 0 @ JAC 6,13,-4,4
2314,LAC 33 @ PIT 30,13,3.5,-3.5
2315,LAR 30 @ DET 16,13,-10.5,10.5
2316,KC 40 @ OAK 33,13,-14,14
2317,NYJ 22 @ TEN 26,13,10.5,-10.5
2318,MIN 10 @ NE 24,13,6,-6
2319,SF 16 @ SEA 43,13,10,-10
2320,WAS 13 @ PHI 28,13,5.5,-5.5
2321,WAS 14 @ DAL 38,13,-1.5,1.5
2322,TB 20 @ GB 26,13,3,-3
2323,IND 10 @ JAC 30,13,10,-10
2324,DEN 9 @ MIA 35,13,-1,1
2325,MIN 14 @ ATL 9,13,2,-2
2326,KC 31 @ NYJ 38,13,-3.5,3.5
2327,HOU 13 @ TEN 24,13,7,-7
2328,CAR 21 @ NO 31,13,5.5,-5.5
2329,DET 20 @ BAL 44,13,2.5,-2.5
2330,NE 23 @ BUF 3,13,-7.5,7.5
2331,SF 15 @ CHI 14,13,2.5,-2.5
2332,CLE 10 @ LAC 19,13,13.5,-13.5
2333,LAR 32 @ ARI 16,13,-7.5,7.5
2334,NYG 17 @ OAK 24,13,10,-10
2335,PHI 10 @ SEA 24,13,-3.5,3.5
2336,PIT 23 @ CIN 20,13,-4.5,4.5
2337,DAL 17 @ MIN 15,13,-3,3
2338,MIA 6 @ BAL 38,13,3.5,-3.5
2339,SF 6 @ CHI 26,13,0,0
2340,HOU 13 @ GB 21,13,7,-7
2341,KC 29 @ ATL 28,13,5,-5
2342,LA 10 @ NE 26,13,13,-13
2343,DET 28 @ NO 13,13,6.5,-6.5
2344,PHI 14 @ CIN 32,13,1,-1
2345,DEN 20 @ JAC 10,13,-3.5,3.5
2346,BUF 24 @ OAK 38,13,3,-3
2347,TB 28 @ SD 21,13,3.5,-3.5
